Institution,Street,Hamlet,City,City_Code,County,State,Country,Latitude,Longitude
,,,,,,,Argentina,S34.0,W64.0
,,,,,,,Belarus,N51.39921,E29.90479
,,,,,,,Belarus,N53.0,E28.0
,,,,,,,Canada,N45.0,W4.0
,,,,,,,Czechia,N32.29876,W90.18481
,,,,,,,England,N44.0,W71.0
,,,,,,,Israel,N31.5,E34.75
,,,,,,,Lithuania,N45.0,W4.0
,,,,,,,Poland,N52.00898,E20.00404
,,,,,,,Ukraine,N49.0095,E32.00043
,,,,,,,Ukraine,N51.39921,E29.90479
,,,,,,,United Kingdom,N54.76782,W2.69783
,,,,,,,United States,N36.45664,W101.25
,,,,,,California,United States,N34.68743,W116.78467
,,,,,,Homyel voblasts,Belarus,N52.44262,E30.97252
,,,,,,Illinois,United States,N39.80172,W89.64371
,,,,,,Jihočeský kraj,Czechia,N48.97447,E14.47434
,,,,,,Kyivska oblast,Ukraine,N49.91586,E30.32776
,,,,,,Louisiana,United States,N31.00047,W92.0004
,,,,,,Michigan,United States,N44.26438,W85.49973
,,,,,,Minnesota,United States,N46.26249,W94.25377
,,,,,,Minsks voblasts,Belarus,N53.93507,E27.56744
,,,,,,New Jersey,United States,N40.18097,W74.50104
,,,,,,New York,United States,N42.77928,W75.54199
,,,,,,North Carolina,United States,N35.78607,W78.63808
,,,,,,Ohio,United States,N40.26171,W82.99965
,,,,,,Pennsylvania,United States,N40.81433,W77.69943
,,,,,,Plzeňský kraj,Czechia,N49.51184,E13.16437
,,,,,,Puerto Rico,United States,N18.26457,W66.49887
,,,,,,Rhode Island,United States,N41.75038,W71.49978
,,,,,Allegheny County,Pennsylvania,United States,N40.48038,W79.98528
,,,,,Broward County,Florida,United States,N26.02655,W80.15076
,,,,,Caddo Parish,Louisiana,United States,N32.59426,W93.88229
,,,,,Contra Costa County,California,United States,N37.98967,W122.02789
,,,,,Cook County,Illinois,United States,N42.04623,W88.08357
,,,,,Crawford County,Pennsylvania,United States,N41.69445,W80.10544
,,,,,Cuyahoga County,Ohio,United States,N41.49315,W81.67786
,,,,,Dade County,Florida,United States,N25.62729,W80.4982
,,,,,Luzerne County,Pennsylvania,United States,N41.19106,W75.99174
,,,,,Lyon County,Minnesota,United States,N44.42544,W95.83717
,,,,,McKean County,Pennsylvania,United States,N41.8179,W78.56941
,,,,,Middlesex County,New Jersey,United States,N40.45269,W74.40765
,,,,,Monroe County,New York,United States,N43.17714,W77.63557
,,,,,Nassau County,New York,United States,N40.78002,W73.52257
,,,,,Natchitoches Parish,Louisiana,United States,N31.77371,W93.08853
,,,,,Pasco County,Florida,United States,N28.32252,W82.44141
,,,,,Riverside County,California,United States,N33.97013,W117.39784
,,,,,San Diego County,California,United States,N32.72895,W117.1637
,,,,,San Joaquin County,California,United States,N36.61883,W120.18906
,,,,,Ulster County,New York,United States,N41.89972,W74.25934
,,,,,Venango County,Pennsylvania,United States,N41.41287,W79.758
,,,,,Westchester County,New York,United States,N41.03431,W73.76564
,,,,,okres Jičín,Hradec Králové kraj,Czechia,N50.44701,E15.35065
,,,,,okres Tábor,Jihočeský kraj,Czechia,N49.42705,E14.66469
,,,,,okres České Budějovice,Jihočeský kraj,Czechia,N49.01085,E14.49783
,,,Alabama,,,Alabama,United States,N32.75041,W86.75026
,,,Albany,,Albany County,New York,United States,N42.65258,W73.75623
,,,Antonovka,,Naraulianski rajon,Homyel voblasts,Belarus,N52.46718,E61.75358
,,,Antwerp,,,,Belgium,N51.22047,E4.40026
,,,Arad,,Be'er Sheva,Southern District,Israel,N34.31815,W86.49582
,,,Arlington,,,Virginia,United States,N38.88101,W77.10428
,,,Ashdod,,,Southern District,Israel,N31.79213,E34.64966
,,,Astrakhan,,,Astrakhan oblast,Russia,N46.34968,E48.04076
,,,Atlanta,,Fulton County,Georgia,United States,N33.749,W84.38798
,,,Azarychy,,Kalinkavichy rajon,Homyel voblasts,Belarus,N52.4648,E29.2643
,,,Babruysk,,Babruysk rajon,Mahilyow voblasts,Belarus,N53.14636,E29.20552
,,,Barry,,Vale of Glamorgan,,Wales,N51.39979,W3.2838
,,,Batelov,,okres Jihlava,Vysočina kraj,Czechia,N49.31425,E15.39465
,,,Be'er Sheva,,Be'er Sheva,Southern District,Israel,N31.26505,E34.79095
,,,Bedford,,Middlesex County,Massachussetts,United States,N41.63526,W70.92701
,,,Belleair Beach,,Pinellas County,Florida,United States,N27.92308,W82.84316
,,,Berlin,,,,Germany,N52.52437,E13.41053
,,,Beverly Hills,,Los Angeles County,California,United States,N34.07362,W118.40036
,,,Bila Tserkva,,Bilatsverskyi raion,Kyivska oblast,Ukraine,N49.8004,E30.12851
,,,Blatná,,okres Strakonice,Jihočeský kraj,Czechia,N49.42489,E13.88176
,,,Blovice,,okres Plzeň-jih,Plzeňský kraj,Czechia,N49.5822,E13.54009
,,,Boca Raton,,Palm Beach County,Florida,United States,N26.35869,W80.0831
,,,Bohuslav,,Obukhivskyi raion,Kyivska oblast,Ukraine,N49.54637,E30.87407
,,,Borisoglebsk,,,Voronezh oblast,Russia,N51.36892,E42.09804
,,,Borovany,,okres České Budějovice,Jihočeský kraj,Czechia,N48.8986,E14.64227
,,,Boston,,Suffolk County,Massachusetts,United States,N42.35843,W71.05977
,,,Boynton Beach,,Palm Beach County,Florida,United States,N26.52535,W80.06643
,,,Bradenton,,Manatee County,Florida,United States,N27.49893,W82.57482
,,,Brahin,,Brahinski rajon,Homyel voblasts,Belarus,N51.64919,E30.36279
,,,Bremen,,,Freie Hansestadt Bremen,Germany,N53.07582,E8.80717
,,,Bristol,,Hartford County,Connecticut,United States,N41.68115,W72.9407
,,,Brno,,,Jihomoravský kraj,Czechia,N49.19522,E16.60796
,,,Brody,,Brodivskyi district,Lvivska oblast,Ukraine,N50.07947727155205,E25.14686664312877
,,,Bronx,,Bronx County,New York,United States,N40.84985,W73.86641
,,,Brooklyn,,Kings County,New York,United States,N40.6501,W73.94958
,,,Budapest,,,,Hungary,N47.49835,E19.04045
,,,Budislav,,okres Tábor,Jihočeský kraj,Czechia,N49.29384,E14.83742
,,,Buffalo,,Erie County,New York,United States,N42.88645,W78.87837
,,,Burbank,,Los Angeles County,California,United States,N34.18084,W118.30897
,,,Burlington,,Burlington County,New Jersey,United States,N40.07122,W74.86489
,,,Bystřice,,okres Benešov,Středočeský kraj,Czechia,N49.70799,E14.64581
,,,Březí u Týna nad Vltavou,,okres České Budějovice,Jihočeský kraj,Czechia,N49.18209199765099,E14.387384305020658
,,,Calgary,,,Alberta,Canada,N51.05011,W114.08529
,,,Cambridge,,Middlesex County,Massachusetts,United States,N42.3751,W71.10561
,,,Canton,,St. Lawrence County,New York,United States,N44.59562,W75.16909
,,,Cape May,,Cape May County,New Jersey,United States,N38.93511,W74.90601
